host,serial,dataset_name,model_name,freeze_backbone,classifier,adapter,prompt,opt,weight_decay,lr,base_lr,seed,epochs,image_size,batch_size,num_images_train,num_images_val,n_cluster_ratio,extractor_layer,model_name_extractor,img_per_class,val_acc_level1,val_acc_level2,val_acc_level3,val_loss,ap_w,train_acc_level1,train_acc_level2,train_acc_level3,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,300,3333,,,,3.0,22.0222,,,3.5993,22.022202220222024,100.0,,,0.0022,31.0693,0.4121,78.51,86.7729,86.7729,
gpu,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,500,3333,,,,5.0,31.7132,,,3.0817,31.71317131713171,100.0,,,0.0052,45.7641,0.4121,67.1517,86.7729,86.7729,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,100,3333,,,,,9.601,,,4.2907,9.6009600960096,100.0,,,0.0031,19.5679,0.4121,78.51,86.7729,86.7729,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,300,3333,,,,3.0,25.6226,,,3.4208,25.622562256225624,100.0,,,0.0004,31.2208,0.4121,78.51,86.7729,86.7729,
gpu,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,500,3333,,,,5.0,39.784,,,2.7976,39.78397839783978,100.0,,,0.0001,45.6563,0.4121,67.1517,86.7729,86.7729,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,100,3333,,,,,9.961,,,4.2814,9.96099609960996,100.0,,,0.0017,19.2317,0.4121,78.51,86.7729,86.7729,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,300,3333,,,,3.0,27.6028,,,3.383,27.602760276027603,100.0,,,0.0002,31.2089,0.4121,78.51,86.7729,86.7729,
gpu,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,500,3333,,,,5.0,42.5143,,,2.7778,42.51425142514251,100.0,,,0.0,45.5751,0.4121,67.1517,86.7729,86.7729,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,100,3333,,,,,10.9811,,,4.3501,10.98109810981098,100.0,,,0.0003,19.434,0.4121,78.51,86.7729,86.7729,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,300,3333,,,,3.0,15.6616,,,6.4301,15.66156615661566,100.0,,,0.0001,31.2221,0.4121,78.51,86.7729,86.7729,
gpu,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,500,3333,,,,5.0,19.712,,,6.5512,19.711971197119713,100.0,,,0.0,45.4473,0.4121,67.1517,86.7729,86.7729,
