serial,setting,dataset_name,method,acc,acc_std,acc_max,acc_min,ada_ratio,acc_mean_std_latex,acc_mean_std
24,fz_448,aircraft,hivit_base_patch16_224.orig_in21k_fz,45.23,2.63,46.91569156915692,38.36933693369337,5.814378617013023,45.23\pm{2.63},45.23+-2.63
24,fz_448,aircraft,hideit_base_patch16_224.fb_in1k_fz,50.35,3.38,52.4002400240024,41.37563756375638,6.715607699630965,50.35\pm{3.38},50.35+-3.38
24,fz_448,aircraft,hivit_base_patch16_224_miil.in21k_fz,32.86,2.7,34.90999099909991,26.12211221122112,8.200678167300762,32.86\pm{2.7},32.86+-2.7
24,fz_448,aircraft,hideit3_base_patch16_224.fb_in22k_ft_in1k_fz,58.29,4.27,61.73117311731173,47.548754875487546,7.316830768506642,58.29\pm{4.27},58.29+-4.27
24,fz_448,aircraft,hideit3_base_patch16_224.fb_in1k_fz,52.56,4.38,55.81908190819081,41.88868886888689,8.341742724888555,52.56\pm{4.38},52.56+-4.38
24,fz_448,aircraft,hivit_base_patch16_224.in1k_mocov3_fz,52.72,4.37,55.6030603060306,41.56165616561656,8.298016810995986,52.72\pm{4.37},52.72+-4.37
24,fz_448,aircraft,hivit_base_patch16_224.dino_fz,62.21,2.94,64.04590459045905,54.37143714371437,4.725139485196048,62.21\pm{2.94},62.21+-2.94
24,fz_448,aircraft,hivit_base_patch16_clip_224.laion2b_fz,65.43,2.25,67.03720372037203,59.52745274527451,3.439648223654337,65.43\pm{2.25},65.43+-2.25
24,fz_448,aircraft,hivit_base_patch16_siglip_224.v2_webli_fz,35.88,1.86,36.99219921992199,31.155115511551152,5.174755483704438,35.88\pm{1.86},35.88+-1.86
24,fz_448,aircraft,hivit_base_patch16_224.mae_fz,30.03,6.61,37.82028202820282,16.647164716471647,22.007465214067466,30.03\pm{6.61},30.03+-6.61
24,fz_448,aircraft,hiresnet50.tv_in1k_fz,49.68,2.82,51.576657665766575,42.21122112211221,5.6751681261869225,49.68\pm{2.82},49.68+-2.82
24,fz_448,aircraft,hiresnet50.tv2_in1k_fz,43.36,2.07,44.58595859585959,37.64326432643264,4.77485134666437,43.36\pm{2.07},43.36+-2.07
24,fz_448,aircraft,hiresnet50.gluon_in1k_fz,46.5,2.45,47.85778577857785,39.88898889888989,5.262656911507209,46.5\pm{2.45},46.5+-2.45
24,fz_448,aircraft,hiresnet50.a1_in1k_fz,41.01,3.21,42.9012901290129,32.36573657365736,7.835901647826304,41.01\pm{3.21},41.01+-3.21
24,fz_448,aircraft,hiresnet50.in21k_miil_fz,52.46,2.71,54.12091209120912,45.190519051905184,5.161632263508522,52.46\pm{2.71},52.46+-2.71
24,fz_448,aircraft,hiresnet50.fb_swsl_ig1b_ft_in1k_fz,56.17,2.64,57.529252925292525,48.87788778877888,4.700535246820597,56.17\pm{2.64},56.17+-2.64
24,fz_448,aircraft,hiresnet50.fb_ssl_yfcc100m_ft_in1k_fz,54.91,2.73,56.38313831383138,47.48574857485748,4.973081341506664,54.91\pm{2.73},54.91+-2.73
24,fz_448,aircraft,hiresnet50.in1k_mocov3_fz,53.14,1.97,54.18541854185418,47.7002700270027,3.7096831550724088,53.14\pm{1.97},53.14+-1.97
24,fz_448,aircraft,hiresnet50.in1k_supcon_fz,50.1,2.51,51.51065106510651,43.19081908190819,5.017609405645797,50.1\pm{2.51},50.1+-2.51
24,fz_448,aircraft,hiresnet50.in1k_swav_fz,46.2,2.96,47.74527452745274,38.22232223222322,6.401113673339412,46.2\pm{2.96},46.2+-2.96
24,fz_448,aircraft,hiresnet50.in1k_spark_fz,26.79,3.13,29.36093609360936,19.363936393639364,11.698645089377429,26.79\pm{3.13},26.79+-3.13
24,fz_448,cars,hivit_base_patch16_224.orig_in21k_fz,40.35,2.42,41.88442767402429,33.89779817459908,5.997014358163011,40.35\pm{2.42},40.35+-2.42
24,fz_448,cars,hideit_base_patch16_224.fb_in1k_fz,52.67,3.22,54.424185803852815,43.90698887712667,6.114808182247207,52.67\pm{3.22},52.67+-3.22
24,fz_448,cars,hivit_base_patch16_224_miil.in21k_fz,16.7,1.63,17.916228111416793,12.547826535347806,9.790364049967247,16.7\pm{1.63},16.7+-1.63
24,fz_448,cars,hideit3_base_patch16_224.fb_in22k_ft_in1k_fz,59.47,4.39,62.37053394038479,48.10886887627737,7.379940021996903,59.47\pm{4.39},59.47+-4.39
24,fz_448,cars,hideit3_base_patch16_224.fb_in1k_fz,56.74,4.48,59.58723735975079,45.26684886299179,7.895278676676655,56.74\pm{4.48},56.74+-4.48
24,fz_448,cars,hivit_base_patch16_224.in1k_mocov3_fz,52.23,5.12,55.34234608606501,38.67769146538624,9.81140331436266,52.23\pm{5.12},52.23+-5.12
24,fz_448,cars,hivit_base_patch16_224.dino_fz,61.84,4.52,64.2059445342619,49.54237581176955,7.311337431422165,61.84\pm{4.52},61.84+-4.52
24,fz_448,cars,hivit_base_patch16_clip_224.laion2b_fz,90.66,0.44,90.99123091715931,89.79486230629003,0.4880466637187906,90.66\pm{0.44},90.66+-0.44
24,fz_448,cars,hivit_base_patch16_siglip_224.v2_webli_fz,31.13,2.08,32.19312001601548,25.50756640510069,6.697211842770989,31.13\pm{2.08},31.13+-2.08
24,fz_448,cars,hivit_base_patch16_224.mae_fz,18.6,4.43,24.3772616559644,10.59751699369997,23.797922554844767,18.6\pm{4.43},18.6+-4.43
24,fz_448,cars,hiresnet50.tv_in1k_fz,47.2,3.86,49.74335797331359,36.94789811969753,8.16744885412409,47.2\pm{3.86},47.2+-3.86
24,fz_448,cars,hiresnet50.tv2_in1k_fz,38.29,2.91,40.00436785862698,30.323737188373,7.598216086947887,38.29\pm{2.91},38.29+-2.91
24,fz_448,cars,hiresnet50.gluon_in1k_fz,43.42,3.29,45.175245161231615,34.406593039938606,7.570773895959366,43.42\pm{3.29},43.42+-3.29
