serial,setting,dataset_name,method,n_cluster_ratio,extractor_layer,model_name_extractor,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
40,,all,hivit_base_patch16_224.in1k_mocov3,70,-1,hivit_base_patch16_224.in1k_mocov3,80.5293,17.6512,92.51336898395722,0.01,16.51535878622062,21.918920214148564,-52.73429699592879,80.5293\pm{17.6512},80.5293+-17.6512
40,,all,hivit_base_patch16_224.dino,25,-1,hivit_base_patch16_224.dino,61.7085,33.1758,91.21999751274716,0.003,3.4572814326576298,53.762058634142626,-98.98969854395932,61.7085\pm{33.1758},61.7085+-33.1758
40,,all,hivit_base_patch16_224.dino,50,-1,hivit_base_patch16_224.dino,61.7509,31.4151,89.19288645690834,0.003,4.427310036065166,50.87397065388828,-93.73670302153454,61.7509\pm{31.4151},61.7509+-31.4151
40,,all,hivit_base_patch16_224.dino,70,-1,hivit_base_patch16_224.dino,60.6489,32.7903,88.44671060813332,0.003,2.8603407536376078,54.065820544947016,-97.83036694187614,60.6489\pm{32.7903},60.6489+-32.7903
40,,all,hivit_base_patch16_clip_224.laion2b,25,-1,hivit_base_patch16_clip_224.laion2b,61.5292,28.851,91.07076234299215,1e-05,4.875015545330183,46.8898769933815,-86.08402352787219,61.5292\pm{28.851},61.5292+-28.851
40,,all,hivit_base_patch16_clip_224.laion2b,50,-1,hivit_base_patch16_clip_224.laion2b,65.5834,25.4503,91.21999751274716,1e-05,10.269244045564378,38.80597911160663,-75.96274222191113,65.5834\pm{25.4503},65.5834+-25.4503
40,,all,hivit_base_patch16_clip_224.laion2b,70,-1,hivit_base_patch16_clip_224.laion2b,65.9845,25.7862,91.26974256933217,5e-06,5.229547808077322,39.07915811012103,-76.96780800901156,65.9845\pm{25.7862},65.9845+-25.7862
40,,all,hivit_base_patch16_siglip_224.v2_webli,25,-1,hivit_base_patch16_siglip_224.v2_webli,73.1474,27.4458,95.18716577540108,0.003,7.99651784603905,37.52122856370996,-81.96221188803128,73.1474\pm{27.4458},73.1474+-27.4458
40,,all,hivit_base_patch16_siglip_224.v2_webli,50,-1,hivit_base_patch16_siglip_224.v2_webli,82.0613,15.4963,95.14985698296232,0.003,21.073524335519505,18.8838146869689,-46.300045336548315,82.0613\pm{15.4963},82.0613+-15.4963
40,,all,hivit_base_patch16_siglip_224.v2_webli,70,-1,hivit_base_patch16_siglip_224.v2_webli,68.4976,26.6827,93.66936693669366,0.003,6.6782738465365,38.9542275508353,-79.65864650870681,68.4976\pm{26.6827},68.4976+-26.6827
