serial,setting,dataset_name,method,seed,n_cluster_ratio,extractor_layer,model_name_extractor,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
54,,soylocal,hiresnet50.in21k_miil,0,10.0,-1.0,hiresnet50.in21k_miil,49.8167,3.7749,55.66666666666666,0.01,45.333333333333336,7.577536975816073,-11.24885364059896,49.8167\pm{3.7749},49.8167+-3.7749
54,,soylocal,hiresnet50.in21k_miil,0,20.0,-1.0,hiresnet50.in21k_miil,49.7667,4.3809,55.16666666666666,0.0001,40.5,8.802950691842499,-13.054775876002427,49.7667\pm{4.3809},49.7667+-4.3809
54,,soylocal,hiresnet50.in21k_miil,0,30.0,-1.0,hiresnet50.in21k_miil,50.6833,3.6239,55.833333333333336,0.0001,44.5,7.150015840235384,-10.800098926675545,50.6833\pm{3.6239},50.6833+-3.6239
54,,soylocal,hiresnet50.in21k_miil,0,40.0,-1.0,hiresnet50.in21k_miil,50.0167,4.213,55.66666666666666,0.0005,42.66666666666666,8.423268758478022,-12.554882084511492,50.0167\pm{4.213},50.0167+-4.213
54,,soylocal,hiresnet50.in21k_miil,0,50.0,-1.0,hiresnet50.in21k_miil,50.0667,4.0758,55.16666666666666,0.0001,42.16666666666666,8.140794686629652,-12.146065672451439,50.0667\pm{4.0758},50.0667+-4.0758
54,,soylocal,hiresnet50.in21k_miil,0,70.0,-1.0,hiresnet50.in21k_miil,50.6,3.2991,56.0,0.01,45.5,6.519927469440711,-9.832050623916594,50.6\pm{3.2991},50.6+-3.2991
54,,soylocal,hiresnet50.in21k_miil,0,90.0,-1.0,hiresnet50.in21k_miil,51.6167,3.4978,55.5,0.0001,45.66666666666666,6.776568625654164,-10.42575083056893,51.6167\pm{3.4978},51.6167+-3.4978
54,,soylocal,hiresnet50.a1_in1k,0,10.0,-1.0,hiresnet50.a1_in1k,48.0333,6.2828,57.66666666666666,5e-05,35.333333333333336,13.080165823416213,-18.717717293308596,48.0333\pm{6.2828},48.0333+-6.2828
54,,soylocal,hiresnet50.a1_in1k,0,20.0,-1.0,hiresnet50.a1_in1k,47.3333,7.559,56.833333333333336,0.0001,35.833333333333336,15.969775310490943,-22.517383187792234,47.3333\pm{7.559},47.3333+-7.559
54,,soylocal,hiresnet50.a1_in1k,0,30.0,-1.0,hiresnet50.a1_in1k,48.5167,7.8451,58.333333333333336,5e-05,33.833333333333336,16.1699589594784,-23.37367567592603,48.5167\pm{7.8451},48.5167+-7.8451
54,,soylocal,hiresnet50.a1_in1k,0,40.0,-1.0,hiresnet50.a1_in1k,48.7593,7.157,58.5,0.0001,37.66666666666666,14.678287157947324,-21.324289398906807,48.7593\pm{7.157},48.7593+-7.157
54,,soylocal,hiresnet50.a1_in1k,0,50.0,-1.0,hiresnet50.a1_in1k,48.2167,7.4046,55.833333333333336,0.0001,34.166666666666664,15.356842009129876,-22.060103546115062,48.2167\pm{7.4046},48.2167+-7.4046
54,,soylocal,hiresnet50.a1_in1k,0,70.0,-1.0,hiresnet50.a1_in1k,50.8333,6.4617,58.333333333333336,5e-05,36.333333333333336,12.711467845725648,-19.257873786274356,50.8333\pm{6.4617},50.8333+-6.4617
54,,soylocal,hiresnet50.a1_in1k,0,90.0,-1.0,hiresnet50.a1_in1k,48.9667,8.0744,57.833333333333336,5e-05,31.166666666666668,16.4896303961058,-24.05837074791836,48.9667\pm{8.0744},48.9667+-8.0744
54,,soylocal,hiresnet50.fb_swsl_ig1b_ft_in1k,0,10.0,-1.0,hiresnet50.fb_swsl_ig1b_ft_in1k,39.7333,17.0367,53.0,0.0001,3.6666666666666665,42.877526900569016,-50.681236796472575,39.7333\pm{17.0367},39.7333+-17.0367
54,,soylocal,hiresnet50.fb_swsl_ig1b_ft_in1k,0,20.0,-1.0,hiresnet50.fb_swsl_ig1b_ft_in1k,42.4333,12.4408,52.16666666666666,0.0001,11.166666666666666,29.31839733232282,-37.02913583072372,42.4333\pm{12.4408},42.4333+-12.4408
