serial,setting,dataset_name,method,seed,img_per_class,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
102,,aircraft_baseline,hiresnet50.in21k_miil,0,1.0,15.9766,1.3602,18.21182118211821,0.001,14.011401140114012,8.513417103153119,-3.9953290219739017,15.9766\pm{1.3602},15.9766+-1.3602
102,,aircraft_baseline,hiresnet50.in21k_miil,0,3.0,33.4683,2.2435,37.02370237023703,0.0005,29.942994299429945,6.703458189779804,-6.663575328722698,33.4683\pm{2.2435},33.4683+-2.2435
102,,aircraft_baseline,hiresnet50.in21k_miil,0,5.0,46.8437,2.3644,50.52505250525053,0.0005,42.3942394239424,5.0473985576233735,-7.042688361874147,46.8437\pm{2.3644},46.8437+-2.3644
102,,cars_baseline,hiresnet50.in21k_miil,0,1.0,10.1256,1.6329,12.324337768934212,0.0005,7.598557393359035,16.126694905722488,-4.7375099414685495,10.1256\pm{1.6329},10.1256+-1.6329
102,,cub_baseline,hiresnet50.in21k_miil,0,1.0,28.7504,3.4292,33.18950638591647,5e-05,23.66240938902313,11.927437102661749,-10.168294523837348,28.7504\pm{3.4292},28.7504+-3.4292
102,,cub_baseline,hiresnet50.in21k_miil,0,3.0,60.1191,9.5262,67.01760441836383,5e-05,36.96927856403176,15.845510467172087,-28.420074379432798,60.1191\pm{9.5262},60.1191+-9.5262
102,,aircraft_baseline,hiresnet50.a1_in1k,0,1.0,12.6043,2.1104,15.66156615661566,0.001,8.76087608760876,16.74315485039171,-6.163620974132948,12.6043\pm{2.1104},12.6043+-2.1104
102,,aircraft_baseline,hiresnet50.a1_in1k,0,3.0,29.769,3.8655,34.383438343834385,0.0005,22.112211221122116,12.985019671492747,-11.466672321786517,29.769\pm{3.8655},29.769+-3.8655
102,,aircraft_baseline,hiresnet50.a1_in1k,0,5.0,40.8911,4.5029,47.1947194719472,0.0005,34.35343534353435,11.011835925846718,-13.398460563636664,40.8911\pm{4.5029},40.8911+-4.5029
102,,cars_baseline,hiresnet50.a1_in1k,0,1.0,8.9205,1.8563,11.540853127720434,0.001,6.292749658002736,20.808959890270383,-5.360720348600448,8.9205\pm{1.8563},8.9205+-1.8563
102,,cub_baseline,hiresnet50.a1_in1k,0,1.0,14.1543,2.7049,17.690714532274768,0.001,9.958577839143942,19.109798706287553,-7.92347532275405,14.1543\pm{2.7049},14.1543+-2.7049
102,,cub_baseline,hiresnet50.a1_in1k,0,3.0,39.232,5.0956,47.44563341387642,0.0001,30.72143596824301,12.98847113590751,-15.157012288484568,39.232\pm{5.0956},39.232+-5.0956
102,,aircraft_baseline,hiresnet50.fb_swsl_ig1b_ft_in1k,0,1.0,17.9778,4.6544,21.782178217821784,5e-05,7.680768076807681,25.889982422081037,-13.704446230964573,17.9778\pm{4.6544},17.9778+-4.6544
102,,aircraft_baseline,hiresnet50.fb_swsl_ig1b_ft_in1k,0,3.0,40.282,8.4661,47.04470447044704,0.03,23.4023402340234,21.016995224774263,-25.18804587923914,40.282\pm{8.4661},40.282+-8.4661
102,,aircraft_baseline,hiresnet50.fb_swsl_ig1b_ft_in1k,0,5.0,50.9118,10.1477,58.175817581758174,5e-05,27.512751275127517,19.93199643592711,-30.2438693115162,50.9118\pm{10.1477},50.9118+-10.1477
102,,cars_baseline,hiresnet50.fb_swsl_ig1b_ft_in1k,0,1.0,14.2408,3.8565,18.09476433279443,0.0001,5.397338639472703,27.080929889584223,-11.298786329718592,14.2408\pm{3.8565},14.2408+-3.8565
102,,cub_baseline,hiresnet50.fb_swsl_ig1b_ft_in1k,0,1.0,22.1609,7.8994,27.632033137728683,0.01,7.248878149810149,35.64553251491971,-23.341610130058037,22.1609\pm{7.8994},22.1609+-7.8994
102,,cub_baseline,hiresnet50.fb_swsl_ig1b_ft_in1k,0,3.0,47.0677,16.3113,60.09665170866413,0.01,12.823610631687954,34.655014005237675,-48.58735839999785,47.0677\pm{16.3113},47.0677+-16.3113
102,,aircraft_baseline,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0,1.0,17.5938,3.7633,20.672067206720676,5e-05,8.610861086108612,21.39015623365826,-11.076096291324268,17.5938\pm{3.7633},17.5938+-3.7633
102,,aircraft_baseline,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0,3.0,37.7138,7.2843,43.83438343834384,5e-05,23.25232523252325,19.31458330484597,-21.6596275370608,37.7138\pm{7.2843},37.7138+-7.2843
102,,aircraft_baseline,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0,5.0,50.125,7.9757,55.685568556855685,0.03,30.003000300030003,15.91160212217594,-23.76796163744785,50.125\pm{7.9757},50.125+-7.9757
102,,cars_baseline,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0,1.0,11.6403,2.8319,14.699664220868051,0.0001,4.862579281183932,24.328705723736924,-8.252547499690039,11.6403\pm{2.8319},11.6403+-2.8319
102,,cub_baseline,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0,1.0,20.0552,6.5773,24.991370383154987,5e-05,6.679323438039351,32.796163089923844,-19.404075740773962,20.0552\pm{6.5773},20.0552+-6.5773
102,,cub_baseline,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0,3.0,47.632,15.357,60.02761477390404,0.01,16.37901277183293,32.24097186010332,-45.74868148238955,47.632\pm{15.357},47.632+-15.357
102,,aircraft_baseline,hiresnet50.in1k_supcon,0,1.0,16.9217,3.7279,19.89198919891989,0.0001,7.860786078607861,22.03041435997696,-10.963452561195014,16.9217\pm{3.7279},16.9217+-3.7279
102,,aircraft_baseline,hiresnet50.in1k_supcon,0,3.0,37.2847,7.1637,44.52445244524453,0.03,22.41224122412241,19.21343574456163,-21.298897685548745,37.2847\pm{7.1637},37.2847+-7.1637
102,,aircraft_baseline,hiresnet50.in1k_supcon,0,5.0,48.3648,7.618,55.02550255025503,0.03,28.802880288028803,15.75106976775257,-22.696426715119184,48.3648\pm{7.618},48.3648+-7.618
102,,cub_baseline,hiresnet50.in1k_supcon,0,3.0,39.9517,12.3617,50.10355540214015,0.01,13.030721435968244,30.941665372859024,-36.77572332129422,39.9517\pm{12.3617},39.9517+-12.3617
102,,aircraft_baseline,hiresnet50.in1k_swav,0,1.0,12.7423,1.6713,14.88148814881488,0.001,9.870987098709872,13.116476325705257,-4.882847383931987,12.7423\pm{1.6713},12.7423+-1.6713
102,,aircraft_baseline,hiresnet50.in1k_swav,0,3.0,31.7042,3.1445,35.94359435943594,0.0005,26.76267626762676,9.918307314010905,-9.334368086819678,31.7042\pm{3.1445},31.7042+-3.1445
102,,aircraft_baseline,hiresnet50.in1k_swav,0,5.0,44.1464,2.8831,48.004800480048,0.0005,38.73387338733873,6.530782623607415,-8.584011302815187,44.1464\pm{2.8831},44.1464+-2.8831
102,,cub_baseline,hiresnet50.in1k_swav,0,3.0,34.2492,4.0606,40.16223679668623,0.0001,26.458405246807043,11.856008078881823,-12.06321197568327,34.2492\pm{4.0606},34.2492+-4.0606
102,,aircraft_baseline,hiresnet50.in1k_mocov3,0,1.0,16.4206,1.2662,18.24182418241824,0.0005,14.491449144914492,7.7111901576322435,-3.721568902448994,16.4206\pm{1.2662},16.4206+-1.2662
102,,aircraft_baseline,hiresnet50.in1k_mocov3,0,3.0,35.6196,2.8886,40.08400840084008,0.0005,30.69306930693069,8.109695107205608,-8.584816668436943,35.6196\pm{2.8886},35.6196+-2.8886
102,,aircraft_baseline,hiresnet50.in1k_mocov3,0,5.0,47.1137,2.2682,50.52505250525053,0.0001,43.56435643564357,4.814360129865094,-6.756527606556576,47.1137\pm{2.2682},47.1137+-2.2682
102,,cub_baseline,hiresnet50.in1k_mocov3,0,1.0,,,,,,,,nan\pm{nan},nan+-nan
102,,cub_baseline,hiresnet50.in1k_mocov3,0,3.0,39.1025,5.0523,45.51259924059372,0.0001,28.08077321366931,12.920594927497737,-15.0276286387845,39.1025\pm{5.0523},39.1025+-5.0523
102,,aircraft_baseline,hiresnet50.in1k_spark,0,1.0,6.6637,1.8309,9.72097209720972,5e-05,3.9303930393039295,27.47572435095303,-5.217914564183241,6.6637\pm{1.8309},6.6637+-1.8309
102,,aircraft_baseline,hiresnet50.in1k_spark,0,3.0,17.6358,6.7163,27.272727272727277,5e-05,9.000900090009,38.08353395732606,-19.768130691134445,17.6358\pm{6.7163},17.6358+-6.7163
102,,aircraft_baseline,hiresnet50.in1k_spark,0,5.0,26.2526,10.7988,40.294029402940296,5e-05,8.34083408340834,41.13417897894778,-31.98506379669055,26.2526\pm{10.7988},26.2526+-10.7988
102,,cars_baseline,hiresnet50.in1k_spark,0,1.0,4.2072,1.4098,6.454421091903992,0.0001,2.5743066782738464,33.509834591390096,-3.8943670348598594,4.2072\pm{1.4098},4.2072+-1.4098
102,,cub_baseline,hiresnet50.in1k_spark,0,1.0,4.7118,1.2913,6.834656541249569,5e-05,2.7959958577839146,27.40542612502151,-3.599788333915925,4.7118\pm{1.2913},4.7118+-1.2913
102,,cub_baseline,hiresnet50.in1k_spark,0,3.0,14.3718,7.2323,26.924404556437693,5e-05,6.5585088022091815,50.323258951137404,-21.1937872906813,14.3718\pm{7.2323},14.3718+-7.2323
102,,aircraft_baseline,hivit_base_patch16_224.orig_in21k,0,1.0,9.1419,1.4889,11.04110411041104,0.1,6.930693069306931,16.286634175871544,-4.303864021326846,9.1419\pm{1.4889},9.1419+-1.4889
102,,aircraft_baseline,hivit_base_patch16_224.orig_in21k,0,3.0,16.9367,3.7111,21.09210921092109,0.03,10.14101410141014,21.911708904938596,-10.914239955809153,16.9367\pm{3.7111},16.9367+-3.7111
102,,aircraft_baseline,hivit_base_patch16_224.orig_in21k,0,5.0,24.0474,7.0145,32.133213321332136,0.0001,9.48094809480948,29.16937297009915,-20.751737805433542,24.0474\pm{7.0145},24.0474+-7.0145
102,,cars_baseline,hivit_base_patch16_224.orig_in21k,0,1.0,6.3437,1.7569,8.071135430916552,0.03,2.561870414127596,27.695493567096925,-4.993833996766342,6.3437\pm{1.7569},6.3437+-1.7569
102,,cub_baseline,hivit_base_patch16_224.orig_in21k,0,1.0,39.8895,18.1354,59.75146703486365,0.1,5.591991715567829,45.46413119961287,-53.95165832308082,39.8895\pm{18.1354},39.8895+-18.1354
102,,cub_baseline,hivit_base_patch16_224.orig_in21k,0,3.0,60.9078,23.8841,79.70314118053159,0.03,11.546427338626165,39.21347464938544,-71.2601013793335,60.9078\pm{23.8841},60.9078+-23.8841
102,,aircraft_baseline,hideit_base_patch16_224.fb_in1k,0,1.0,10.009,1.088,11.731173117311732,0.001,8.370837083708372,10.869906925928735,-3.155208176906173,10.009\pm{1.088},10.009+-1.088
102,,aircraft_baseline,hideit_base_patch16_224.fb_in1k,0,3.0,21.9952,5.1622,27.602760276027603,0.0001,10.98109810981098,23.469539135654372,-15.251820486544645,21.9952\pm{5.1622},21.9952+-5.1622
