serial,setting,dataset_name,method,acc,acc_std,acc_max,acc_mean_std_latex,acc_mean_std
24,,all,hiresnet50.a1_in1k_fz,32.23,5.05,37.6819,32.23\pm{5.05},32.23+-5.05
24,,all,hiresnet50.in1k_byol_fz,8.94,4.03,13.6514,8.94\pm{4.03},8.94+-4.03
24,,all,hiresnet50.in1k_mocov3_fz,44.23,6.58,52.5308,44.23\pm{6.58},44.23+-6.58
24,,all,hiresnet50.in1k_spark_fz,17.44,4.98,23.8224,17.44\pm{4.98},17.44+-4.98
24,,all,hiresnet50.in1k_supcon_fz,39.88,4.3,44.3744,39.88\pm{4.3},39.88+-4.3
24,,all,hiresnet50.in1k_swav_fz,3.08,0.64,3.8704,3.08\pm{0.64},3.08+-0.64
24,,all,hiresnet50.in21k_miil_fz,51.33,7.05,61.4256,51.33\pm{7.05},51.33+-7.05
24,,all,hivit_base_patch16_224.orig_in21k_fz,53.41,20.88,82.9306,53.41\pm{20.88},53.41+-20.88
24,,all,hideit_base_patch16_224.fb_in1k_fz,53.8,10.04,67.6562,53.8\pm{10.04},53.8+-10.04
24,,all,hivit_base_patch16_224_miil.in21k_fz,25.4,8.01,34.9154,25.4\pm{8.01},25.4+-8.01
24,,all,hideit3_base_patch16_224.fb_in22k_ft_in1k_fz,63.58,13.04,81.5326,63.58\pm{13.04},63.58+-13.04
24,,all,hideit3_base_patch16_224.fb_in1k_fz,56.89,10.19,70.107,56.89\pm{10.19},56.89+-10.19
24,,all,hivit_base_patch16_224.in1k_mocov3_fz,52.8,7.96,63.3069,52.8\pm{7.96},52.8+-7.96
24,,all,hivit_base_patch16_224.dino_fz,63.4,8.18,74.5599,63.4\pm{8.18},63.4+-8.18
24,,all,hivit_base_patch16_224.mae_fz,18.83,5.96,31.0231,18.83\pm{5.96},18.83+-5.96
24,,all,hivit_base_patch16_clip_224.laion2b_fz,75.65,12.76,90.8842,75.65\pm{12.76},75.65+-12.76
24,,all,hivit_base_patch16_siglip_224.v2_webli_fz,32.63,3.98,38.8505,32.63\pm{3.98},32.63+-3.98
